"Time","Type","Ability","Source → Target",""
"00:00.091","Cast","Reaper","Nexus-Princess Ky'veza",""
"00:08.508","Cast","Assassination","Nexus-Princess Ky'veza",""
"00:09.995","Begin Cast","Void Shredders 1.52 sec","Nexus-Princess Ky'veza",""
"00:11.519","Cast","Void Shredders 1.52 sec","Nexus-Princess Ky'veza → Abukdk",""
"00:12.033","Cast","Void Shredders","Nexus-Princess Ky'veza 1",""
"00:12.528","Cast","Void Shredders","Nexus-Princess Ky'veza 2",""
"00:13.752","Begin Cast","Assassination 2.02 sec","Nexus-Princess Ky'veza",""
"00:15.770","Cast","Assassination 2.02 sec","Nexus-Princess Ky'veza",""
"00:16.521","Cast","Assassination","Nexus-Princess Ky'veza 3",""
"00:16.749","Cast","Assassination","Nexus-Princess Ky'veza 4",""
"00:16.998","Cast","Assassination","Nexus-Princess Ky'veza 5",""
"00:17.269","Cast","Assassination","Nexus-Princess Ky'veza 6",""
"00:17.539","Cast","Assassination","Nexus-Princess Ky'veza 7",""
"00:18.986","Cast","Death Masks","Nexus-Princess Ky'veza",""
"00:22.002","Begin Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:22.120","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.210","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.312","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.423","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.516","Begin Cast","Nether Rift Canceled","Unknown",""
"00:26.017","Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:26.135","Cast","Nether Rift","Nether Phantom 1",""
"00:26.242","Cast","Nether Rift","Nether Phantom 3",""
"00:26.355","Cast","Nether Rift","Nether Phantom 2",""
"00:26.426","Cast","Nether Rift","Nether Phantom 4",""
"00:26.517","Cast","Nether Rift","Nether Phantom 5",""
"00:34.026","Begin Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"00:34.380","Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"00:35.408","Begin Cast","Twilight Massacre 4.98 sec","Nether Phantom 1",""
"00:35.408","Cast","Twilight Massacre","Nether Phantom 1",""
"00:35.484","Begin Cast","Twilight Massacre 5.01 sec","Nether Phantom 3",""
"00:35.484","Cast","Twilight Massacre","Nether Phantom 3",""
"00:35.578","Begin Cast","Twilight Massacre 5.03 sec","Nether Phantom 2",""
"00:35.578","Cast","Twilight Massacre","Nether Phantom 2",""
"00:35.673","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 4",""
"00:35.673","Cast","Twilight Massacre","Nether Phantom 4",""
"00:35.773","Begin Cast","Twilight Massacre 5.04 sec","Nether Phantom 5",""
"00:35.773","Cast","Twilight Massacre","Nether Phantom 5",""
"00:40.022","Begin Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza",""
"00:40.389","Cast","Twilight Massacre 4.98 sec","Nether Phantom 1",""
"00:40.494","Cast","Twilight Massacre 5.01 sec","Nether Phantom 3",""
"00:40.608","Cast","Twilight Massacre 5.03 sec","Nether Phantom 2",""
"00:40.673","Cast","Twilight Massacre 5.00 sec","Nether Phantom 4",""
"00:40.808","Cast","Twilight Massacre 5.04 sec","Nether Phantom 5",""
"00:41.530","Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza →  Boblecoque",""
"00:42.029","Cast","Void Shredders","Nexus-Princess Ky'veza 8",""
"00:42.533","Cast","Void Shredders","Nexus-Princess Ky'veza 9",""
"00:45.356","Begin Cast","Nexus Daggers 1.52 sec","Nexus-Princess Ky'veza",""
"00:46.111","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 1",""
"00:46.881","Cast","Nexus Daggers 1.52 sec","Nexus-Princess Ky'veza",""
"00:46.881","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 3",""
"00:47.618","Cast","Nexus Daggers 1.51 sec","Nether Phantom 1",""
"00:47.647","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 2",""
"00:48.371","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 4",""
"00:48.391","Cast","Nexus Daggers 1.51 sec","Nether Phantom 3",""
"00:49.132","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 5",""
"00:49.156","Cast","Nexus Daggers 1.51 sec","Nether Phantom 2",""
"00:49.871","Cast","Nexus Daggers 1.50 sec","Nether Phantom 4",""
"00:50.638","Cast","Nexus Daggers 1.51 sec","Nether Phantom 5",""
"00:52.014","Begin Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:52.122","Begin Cast","Nether Rift 4.04 sec","Nether Phantom 1",""
"00:52.216","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 3",""
"00:52.305","Begin Cast","Nether Rift 4.02 sec","Nether Phantom 2",""
"00:52.421","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 4",""
"00:52.521","Begin Cast","Nether Rift 3.99 sec","Nether Phantom 5",""
"00:56.023","Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:56.159","Cast","Nether Rift 4.04 sec","Nether Phantom 1",""
"00:56.221","Cast","Nether Rift 4.00 sec","Nether Phantom 3",""
"00:56.329","Cast","Nether Rift 4.02 sec","Nether Phantom 2",""
"00:56.418","Cast","Nether Rift 4.00 sec","Nether Phantom 4",""
"00:56.514","Cast","Nether Rift 3.99 sec","Nether Phantom 5",""
"01:04.009","Begin Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"01:04.363","Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"01:05.382","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 1",""
"01:05.382","Cast","Twilight Massacre","Nether Phantom 1",""
"01:05.465","Begin Cast","Twilight Massacre 5.02 sec","Nether Phantom 3",""
"01:05.465","Cast","Twilight Massacre","Nether Phantom 3",""
"01:05.600","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 2",""
"01:05.600","Cast","Twilight Massacre","Nether Phantom 2",""
"01:05.681","Begin Cast","Twilight Massacre 4.98 sec","Nether Phantom 4",""
"01:05.681","Cast","Twilight Massacre","Nether Phantom 4",""
"01:05.794","Begin Cast","Twilight Massacre 4.99 sec","Nether Phantom 5",""
"01:05.794","Cast","Twilight Massacre","Nether Phantom 5",""
"01:10.004","Begin Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza",""
"01:10.384","Cast","Twilight Massacre 5.00 sec","Nether Phantom 1",""
"01:10.485","Cast","Twilight Massacre 5.02 sec","Nether Phantom 3",""
"01:10.602","Cast","Twilight Massacre 5.00 sec","Nether Phantom 2",""
"01:10.663","Cast","Twilight Massacre 4.98 sec","Nether Phantom 4",""
"01:10.785","Cast","Twilight Massacre 4.99 sec","Nether Phantom 5",""
"01:11.518","Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza → Abukdk",""
"01:12.039","Cast","Void Shredders","Nexus-Princess Ky'veza 10",""
"01:12.538","Cast","Void Shredders","Nexus-Princess Ky'veza 11",""
"01:15.369","Begin Cast","Nexus Daggers 1.53 sec","Nexus-Princess Ky'veza",""
"01:16.141","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 3",""
"01:16.900","Begin Cast","Nexus Daggers 1.49 sec","Nether Phantom 4",""
"01:16.900","Cast","Nexus Daggers 1.53 sec","Nexus-Princess Ky'veza",""
"01:17.645","Cast","Nexus Daggers 1.50 sec","Nether Phantom 3",""
"01:17.646","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 5",""
"01:18.371","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 1",""
"01:18.388","Cast","Nexus Daggers 1.49 sec","Nether Phantom 4",""
"01:19.125","Begin Cast","Nexus Daggers 1.52 sec","Nether Phantom 2",""
"01:19.143","Cast","Nexus Daggers 1.50 sec","Nether Phantom 5",""
"01:19.879","Cast","Nexus Daggers 1.51 sec","Nether Phantom 1",""
"01:20.648","Cast","Nexus Daggers 1.52 sec","Nether Phantom 2",""
"01:22.017","Begin Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"01:22.134","Begin Cast","Nether Rift 4.02 sec","Nether Phantom 3",""
"01:22.231","Begin Cast","Nether Rift 4.01 sec","Nether Phantom 4",""
"01:22.336","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 5",""
"01:22.434","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 1",""
"01:22.528","Begin Cast","Nether Rift 4.02 sec","Nether Phantom 2",""
"01:26.031","Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"01:26.156","Cast","Nether Rift 4.02 sec","Nether Phantom 3",""
"01:26.245","Cast","Nether Rift 4.01 sec","Nether Phantom 4",""
"01:26.331","Cast","Nether Rift 4.00 sec","Nether Phantom 5",""
"01:26.435","Cast","Nether Rift 4.00 sec","Nether Phantom 1",""
"01:26.546","Cast","Nether Rift 4.02 sec","Nether Phantom 2",""
"01:36.110","Begin Cast","Starless Night 5.03 sec","Nexus-Princess Ky'veza",""
"01:41.142","Cast","Starless Night 5.03 sec","Nexus-Princess Ky'veza",""
"02:18.488","Cast","Assassination","Nexus-Princess Ky'veza",""
"02:20.022","Begin Cast","Void Shredders 1.49 sec","Nexus-Princess Ky'veza",""
"02:21.515","Cast","Void Shredders 1.49 sec","Nexus-Princess Ky'veza → Abukdk",""
"02:22.024","Cast","Void Shredders","Nexus-Princess Ky'veza 12",""
"02:22.523","Cast","Void Shredders","Nexus-Princess Ky'veza 13",""
"02:23.737","Begin Cast","Assassination 2.02 sec","Nexus-Princess Ky'veza",""
"02:25.752","Cast","Assassination 2.02 sec","Nexus-Princess Ky'veza",""
"02:26.485","Cast","Assassination","Nexus-Princess Ky'veza 14",""
"02:26.774","Cast","Assassination","Nexus-Princess Ky'veza 15",""
"02:26.996","Cast","Assassination","Nexus-Princess Ky'veza 16",""
"02:27.252","Cast","Assassination","Nexus-Princess Ky'veza 17",""
"02:27.493","Cast","Assassination","Nexus-Princess Ky'veza 18",""
"02:28.995","Cast","Death Masks","Nexus-Princess Ky'veza",""
"02:32.009","Begin Cast","Nether Rift 4.02 sec","Nexus-Princess Ky'veza",""
"02:32.124","Begin Cast","Nether Rift Canceled","Unknown",""
"02:32.231","Begin Cast","Nether Rift Canceled","Unknown",""
"02:32.363","Begin Cast","Nether Rift Canceled","Unknown",""
"02:32.454","Begin Cast","Nether Rift Canceled","Unknown",""
"02:32.567","Begin Cast","Nether Rift Canceled","Unknown",""
"02:36.026","Cast","Nether Rift 4.02 sec","Nexus-Princess Ky'veza",""
"02:36.139","Cast","Nether Rift","Nether Phantom 6",""
"02:36.235","Cast","Nether Rift","Nether Phantom 8",""
"02:36.329","Cast","Nether Rift","Nether Phantom 7",""
"02:36.442","Cast","Nether Rift","Nether Phantom 9",""
"02:36.553","Cast","Nether Rift","Nether Phantom 10",""
"02:43.994","Begin Cast","Twilight Massacre 0.36 sec","Nexus-Princess Ky'veza",""
"02:44.357","Cast","Twilight Massacre 0.36 sec","Nexus-Princess Ky'veza",""
"02:45.358","Begin Cast","Twilight Massacre 5.01 sec","Nether Phantom 6",""
"02:45.358","Cast","Twilight Massacre","Nether Phantom 6",""
"02:45.501","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 8",""
"02:45.501","Cast","Twilight Massacre","Nether Phantom 8",""
"02:45.577","Begin Cast","Twilight Massacre 5.01 sec","Nether Phantom 7",""
"02:45.577","Cast","Twilight Massacre","Nether Phantom 7",""
"02:45.657","Begin Cast","Twilight Massacre 5.01 sec","Nether Phantom 9",""
"02:45.658","Cast","Twilight Massacre","Nether Phantom 9",""
"02:45.764","Begin Cast","Twilight Massacre 5.01 sec","Nether Phantom 10",""
"02:45.764","Cast","Twilight Massacre","Nether Phantom 10",""
"02:50.039","Begin Cast","Void Shredders 1.47 sec","Nexus-Princess Ky'veza",""
"02:50.373","Cast","Twilight Massacre 5.01 sec","Nether Phantom 6",""
"02:50.497","Cast","Twilight Massacre 5.00 sec","Nether Phantom 8",""
"02:50.585","Cast","Twilight Massacre 5.01 sec","Nether Phantom 7",""
"02:50.665","Cast","Twilight Massacre 5.01 sec","Nether Phantom 9",""
"02:50.774","Cast","Twilight Massacre 5.01 sec","Nether Phantom 10",""
"02:51.509","Cast","Void Shredders 1.47 sec","Nexus-Princess Ky'veza →  Boblecoque",""
"02:52.031","Cast","Void Shredders","Nexus-Princess Ky'veza 19",""
"02:52.524","Cast","Void Shredders","Nexus-Princess Ky'veza 20",""
"02:55.383","Begin Cast","Nexus Daggers 1.49 sec","Nexus-Princess Ky'veza",""
"02:56.152","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 6",""
"02:56.875","Cast","Nexus Daggers 1.49 sec","Nexus-Princess Ky'veza",""
"02:56.898","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 7",""
"02:57.631","Begin Cast","Nexus Daggers 1.52 sec","Nether Phantom 10",""
"02:57.652","Cast","Nexus Daggers 1.50 sec","Nether Phantom 6",""
"02:58.382","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 8",""
"02:58.401","Cast","Nexus Daggers 1.50 sec","Nether Phantom 7",""
"02:59.152","Cast","Nexus Daggers 1.52 sec","Nether Phantom 10",""
"02:59.152","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 9",""
"02:59.896","Cast","Nexus Daggers 1.51 sec","Nether Phantom 8",""
"03:00.654","Cast","Nexus Daggers 1.50 sec","Nether Phantom 9",""
"03:01.993","Begin Cast","Nether Rift 4.03 sec","Nexus-Princess Ky'veza",""
"03:02.120","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 6",""
"03:02.228","Begin Cast","Nether Rift 4.02 sec","Nether Phantom 7",""
"03:02.313","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 10",""
"03:02.395","Begin Cast","Nether Rift 4.02 sec","Nether Phantom 8",""
"03:02.529","Begin Cast","Nether Rift 4.03 sec","Nether Phantom 9",""
"03:06.023","Cast","Nether Rift 4.03 sec","Nexus-Princess Ky'veza",""
"03:06.123","Cast","Nether Rift 4.00 sec","Nether Phantom 6",""
"03:06.245","Cast","Nether Rift 4.02 sec","Nether Phantom 7",""
"03:06.308","Cast","Nether Rift 4.00 sec","Nether Phantom 10",""
"03:06.411","Cast","Nether Rift 4.02 sec","Nether Phantom 8",""
"03:06.558","Cast","Nether Rift 4.03 sec","Nether Phantom 9",""
"03:13.991","Begin Cast","Twilight Massacre 0.38 sec","Nexus-Princess Ky'veza",""
"03:14.372","Cast","Twilight Massacre 0.38 sec","Nexus-Princess Ky'veza",""
"03:15.382","Begin Cast","Twilight Massacre 4.99 sec","Nether Phantom 6",""
"03:15.382","Cast","Twilight Massacre","Nether Phantom 6",""
"03:15.490","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 7",""
"03:15.490","Cast","Twilight Massacre","Nether Phantom 7",""
"03:15.574","Begin Cast","Twilight Massacre 5.01 sec","Nether Phantom 10",""
"03:15.574","Cast","Twilight Massacre","Nether Phantom 10",""
"03:15.685","Begin Cast","Twilight Massacre 4.99 sec","Nether Phantom 8",""
"03:15.685","Cast","Twilight Massacre","Nether Phantom 8",""
"03:15.777","Begin Cast","Twilight Massacre 5.02 sec","Nether Phantom 9",""
"03:15.778","Cast","Twilight Massacre","Nether Phantom 9",""
"03:20.012","Begin Cast","Void Shredders 1.49 sec","Nexus-Princess Ky'veza",""
"03:20.376","Cast","Twilight Massacre 4.99 sec","Nether Phantom 6",""
"03:20.492","Cast","Twilight Massacre 5.00 sec","Nether Phantom 7",""
"03:20.584","Cast","Twilight Massacre 5.01 sec","Nether Phantom 10",""
"03:20.678","Cast","Twilight Massacre 4.99 sec","Nether Phantom 8",""
"03:20.797","Cast","Twilight Massacre 5.02 sec","Nether Phantom 9",""
"03:21.503","Cast","Void Shredders 1.49 sec","Nexus-Princess Ky'veza → Abukdk",""
"03:22.013","Cast","Void Shredders","Nexus-Princess Ky'veza 21",""
"03:22.537","Cast","Void Shredders","Nexus-Princess Ky'veza 22",""
"03:25.368","Begin Cast","Nexus Daggers 1.51 sec","Nexus-Princess Ky'veza",""
"03:26.127","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 6",""
"03:26.867","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 8",""
"03:26.882","Cast","Nexus Daggers 1.51 sec","Nexus-Princess Ky'veza",""
"03:27.622","Begin Cast","Nexus Daggers 1.52 sec","Nether Phantom 9",""
"03:27.622","Cast","Nexus Daggers 1.50 sec","Nether Phantom 6",""
"03:28.365","Begin Cast","Nexus Daggers 1.52 sec","Nether Phantom 7",""
"03:28.365","Cast","Nexus Daggers 1.50 sec","Nether Phantom 8",""
"03:29.113","Begin Cast","Nexus Daggers 1.52 sec","Nether Phantom 10",""
"03:29.142","Cast","Nexus Daggers 1.52 sec","Nether Phantom 9",""
"03:29.882","Cast","Nexus Daggers 1.52 sec","Nether Phantom 7",""
"03:30.632","Cast","Nexus Daggers 1.52 sec","Nether Phantom 10",""
"03:32.017","Begin Cast","Nether Rift 4.00 sec","Nexus-Princess Ky'veza",""
"03:32.133","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 6",""
"03:32.230","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 8",""
"03:32.329","Begin Cast","Nether Rift 4.01 sec","Nether Phantom 9",""
"03:32.431","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 7",""
"03:32.553","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 10",""
"03:36.021","Cast","Nether Rift 4.00 sec","Nexus-Princess Ky'veza",""
"03:36.136","Cast","Nether Rift 4.00 sec","Nether Phantom 6",""
"03:36.225","Cast","Nether Rift 4.00 sec","Nether Phantom 8",""
"03:36.344","Cast","Nether Rift 4.01 sec","Nether Phantom 9",""
"03:36.429","Cast","Nether Rift 4.00 sec","Nether Phantom 7",""
"03:36.550","Cast","Nether Rift 4.00 sec","Nether Phantom 10",""
"03:46.116","Begin Cast","Starless Night 5.02 sec","Nexus-Princess Ky'veza",""
"03:51.136","Cast","Starless Night 5.02 sec","Nexus-Princess Ky'veza",""
"04:28.507","Cast","Assassination","Nexus-Princess Ky'veza",""
"04:30.009","Begin Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza",""
"04:31.518","Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza → Abukdk",""
"04:32.030","Cast","Void Shredders","Nexus-Princess Ky'veza 23",""
"04:32.511","Cast","Void Shredders","Nexus-Princess Ky'veza 24",""
"04:33.751","Begin Cast","Assassination 2.00 sec","Nexus-Princess Ky'veza",""
"04:35.755","Cast","Assassination 2.00 sec","Nexus-Princess Ky'veza",""
"04:36.520","Cast","Assassination","Nexus-Princess Ky'veza 25",""
"04:36.751","Cast","Assassination","Nexus-Princess Ky'veza 26",""
"04:37.013","Cast","Assassination","Nexus-Princess Ky'veza 27",""
"04:37.258","Cast","Assassination","Nexus-Princess Ky'veza 28",""
"04:37.500","Cast","Assassination","Nexus-Princess Ky'veza 29",""
"04:38.999","Cast","Death Masks","Nexus-Princess Ky'veza",""
"04:41.999","Begin Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"04:42.104","Begin Cast","Nether Rift Canceled","Unknown",""
"04:42.222","Begin Cast","Nether Rift Canceled","Unknown",""
"04:42.315","Begin Cast","Nether Rift Canceled","Unknown",""
"04:42.404","Begin Cast","Nether Rift Canceled","Unknown",""
"04:42.505","Begin Cast","Nether Rift Canceled","Unknown",""
"04:46.012","Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"04:46.123","Cast","Nether Rift","Nether Phantom 11",""
"04:46.226","Cast","Nether Rift","Nether Phantom 13",""
"04:46.323","Cast","Nether Rift","Nether Phantom 12",""
"04:46.429","Cast","Nether Rift","Nether Phantom 14",""
"04:46.506","Cast","Nether Rift","Nether Phantom 15",""
"04:54.014","Begin Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"04:54.365","Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"04:55.384","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 11",""
"04:55.385","Cast","Twilight Massacre","Nether Phantom 11",""
"04:55.490","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 13",""
"04:55.490","Cast","Twilight Massacre","Nether Phantom 13",""
"04:55.575","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 12",""
"04:55.576","Cast","Twilight Massacre","Nether Phantom 12",""
"04:55.676","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 14",""
"04:55.676","Cast","Twilight Massacre","Nether Phantom 14",""
"04:55.766","Begin Cast","Twilight Massacre 5.02 sec","Nether Phantom 15",""
"04:55.767","Cast","Twilight Massacre","Nether Phantom 15",""
"05:00.012","Begin Cast","Void Shredders 1.49 sec","Nexus-Princess Ky'veza",""
"05:00.386","Cast","Twilight Massacre 5.00 sec","Nether Phantom 11",""
"05:00.489","Cast","Twilight Massacre 5.00 sec","Nether Phantom 13",""
"05:00.573","Cast","Twilight Massacre 5.00 sec","Nether Phantom 12",""
"05:00.681","Cast","Twilight Massacre 5.00 sec","Nether Phantom 14",""
"05:00.783","Cast","Twilight Massacre 5.02 sec","Nether Phantom 15",""
"05:01.504","Cast","Void Shredders 1.49 sec","Nexus-Princess Ky'veza →  Boblecoque",""